param: A: K:=
ATM0	        31
ATM1	        22
ATM2	        47
ATM3	        44
ATM4	        27
ATM5	        41
ATM6	        32
ATM7	        36
ATM8	        40
ATM9	        34
;

param: D:	B:=
DATE0	    18936.
DATE1	     8545.
DATE2	     4903.
DATE3	    10912.
DATE4	    11012.
DATE5	     7068.
DATE6	    17177.
DATE7	       68.
DATE8	     4338.
DATE9	     7649.
DATE10	    10630.
DATE11	      280.
DATE12	    14036.
DATE13	    22222.
DATE14	    11112.
DATE15	     4236.
DATE16	    13446.
DATE17	     8376.
DATE18	     1551.
DATE19	     7780.
DATE20	     3664.
DATE21	     4712.
DATE22	    13446.
DATE23	    12619.
DATE24	     4968.
DATE25	     9559.
DATE26	      380.
DATE27	    15508.
DATE28	    13582.
DATE29	    11223.
DATE30	      325.
DATE31	     6911.
DATE32	     8733.
DATE33	     6815.
DATE34	     1131.
DATE35	     7044.
DATE36	    11962.
DATE37	    12132.
DATE38	    13446.
DATE39	     4525.
DATE40	     9030.
DATE41	     9030.
DATE42	    14334.
DATE43	    13446.
DATE44	     8299.
DATE45	     8491.
DATE46	    14661.
DATE47	    13058.
DATE48	    18343.
DATE49	     8964.
DATE50	     2254.
DATE51	    16473.
DATE52	     3366.
DATE53	     2057.
DATE54	    12489.
DATE55	    13446.
DATE56	     7870.
DATE57	    13446.
DATE58	    14040.
DATE59	     9373.
DATE60	    11873.
DATE61	     8643.
DATE62	     7496.
DATE63	    10629.
DATE64	    13446.
DATE65	    18653.
DATE66	    15334.
DATE67	    18849.
DATE68	     1581.
DATE69	    12316.
DATE70	     3314.
DATE71	    13169.
DATE72	     6393.
DATE73	    22039.
DATE74	     1970.
DATE75	    13446.
DATE76	    13243.
DATE77	     7471.
DATE78	    13446.
DATE79	    21889.
DATE80	    15070.
DATE81	    12113.
DATE82	     7466.
DATE83	    26893.
DATE84	     8577.
DATE85	    12339.
DATE86	     4553.
DATE87	     8688.
DATE88	    17668.
DATE89	     8160.
DATE90	     9200.
DATE91	    15146.
DATE92	     1375.
DATE93	     8235.
DATE94	     9024.
DATE95	     7940.
DATE96	     8785.
DATE97	     4982.
DATE98	    21367.
DATE99	    13606.
;

param: AD: Ca Cb Cc Cd Ce Cw :=
ATM0	DATE0	     2822.     1984.    -1984.     1045.      593.      780.
ATM0	DATE1	     1337.     2530.    -2530.     1510.    -2177.     2351.
ATM0	DATE2	     2685.      -67.       67.      145.      532.     2288.
ATM0	DATE3	     -595.    -3135.     3135.      581.     1962.     1357.
ATM0	DATE4	     3041.     -951.      951.       74.    -1590.     3637.
ATM0	DATE5	      721.      479.     -479.     1121.      799.     1371.
ATM0	DATE6	     3573.     3186.    -3186.      757.     -324.     2225.
ATM0	DATE7	      399.      341.     -341.      843.     -368.     1721.
ATM0	DATE8	     1644.     -643.      643.      915.     -532.     2110.
ATM0	DATE9	    -1161.     -931.      931.       43.    -1334.     3118.
ATM0	DATE10	    -1671.      601.     -601.     1772.     -568.     2830.
ATM0	DATE11	     2933.      618.     -618.      636.      891.      184.
ATM0	DATE12	    -2850.     -610.      610.      825.     2781.      282.
ATM0	DATE13	    -2470.    -1977.     1977.       20.     1922.      998.
ATM0	DATE14	    -1248.     1566.    -1566.     1262.    -1703.     3198.
ATM0	DATE15	     2031.    -1480.     1480.      976.     -517.     3170.
ATM0	DATE16	     5002.      679.     -679.      632.    -1402.     2301.
ATM0	DATE17	     6328.     1375.    -1375.      586.      438.      719.
ATM0	DATE18	     1443.      534.     -534.      655.      635.      818.
ATM0	DATE19	    -1561.      157.     -157.      859.      355.     1426.
ATM0	DATE20	      589.     -691.      691.     1229.    -1935.     2803.
ATM0	DATE21	    -1068.    -2001.     2001.      410.     1043.     1031.
ATM0	DATE22	     -185.     2626.    -2626.      454.      771.       23.
ATM0	DATE23	      413.     3649.    -3649.       26.      480.      376.
ATM0	DATE24	     1174.     -951.      951.      958.     1669.      541.
ATM0	DATE25	     1564.    -1376.     1376.      443.       29.     2195.
ATM0	DATE26	      225.     2067.    -2067.      800.    -2933.     3676.
ATM0	DATE27	    -1340.     1046.    -1046.      123.     -627.     2475.
ATM0	DATE28	     2097.     -574.      574.      396.     1009.     1232.
ATM0	DATE29	      996.    -1377.     1377.       82.     2157.      352.
ATM0	DATE30	     -482.     2943.    -2943.     1593.     -178.      853.
ATM0	DATE31	     4036.       93.      -93.     1387.      286.     2310.
ATM0	DATE32	    -1168.     -451.      451.     1785.    -2323.     3542.
ATM0	DATE33	     -955.    -1282.     1282.     3317.      940.      739.
ATM0	DATE34	    -1123.     1251.    -1251.       80.     -130.     1315.
ATM0	DATE35	      621.    -1141.     1141.     1642.    -1206.     2929.
ATM0	DATE36	     -959.    -3214.     3214.      815.      469.     2928.
ATM0	DATE37	     5032.     -976.      976.       99.     -969.     2101.
ATM0	DATE38	     -350.     -480.      480.      242.    -2804.     3522.
ATM0	DATE39	    -3579.    -2369.     2369.     1546.     3330.      319.
ATM0	DATE40	     2334.      151.     -151.       92.     -144.     1184.
ATM0	DATE41	     1492.      811.     -811.     2282.      359.      181.
ATM0	DATE42	    -3352.    -3310.     3310.      404.     2349.     1096.
ATM0	DATE43	      942.    -1043.     1043.      504.     -184.     1568.
ATM0	DATE44	    -1353.    -1789.     1789.      549.      -55.     2710.
ATM0	DATE45	     -167.     -346.      346.      185.     -698.     1096.
ATM0	DATE46	      900.     -136.      136.      624.    -3187.     3834.
ATM0	DATE47	     2378.    -1849.     1849.     2004.    -1890.     4214.
ATM0	DATE48	     3167.     -443.      443.     1659.     1647.     1902.
ATM0	DATE49	    -2324.     -951.      951.     1204.      233.     3280.
ATM0	DATE50	    -1606.      732.     -732.      878.    -1108.     2989.
ATM0	DATE51	     1485.     -871.      871.     1445.     1810.      163.
ATM0	DATE52	     -844.       86.      -86.     1626.    -1794.     3023.
ATM0	DATE53	     1509.       23.      -23.      650.       21.      795.
ATM0	DATE54	     -200.     2147.    -2147.     2133.     -977.     1374.
ATM0	DATE55	     2227.     2289.    -2289.      862.      143.      326.
ATM0	DATE56	     -246.     1610.    -1610.      458.      337.     2174.
ATM0	DATE57	      472.     -595.      595.      565.    -1217.     2208.
ATM0	DATE58	     1179.     -246.      246.     4285.     1176.      433.
ATM0	DATE59	     1151.     1164.    -1164.      743.    -1803.     2521.
ATM0	DATE60	      579.      408.     -408.     2462.    -1447.     2814.
ATM0	DATE61	     -581.     2116.    -2116.     2790.       74.      788.
ATM0	DATE62	      175.     1304.    -1304.       44.      763.      296.
ATM0	DATE63	     6345.     1873.    -1873.      303.    -3252.     3262.
ATM0	DATE64	     -763.      297.     -297.      289.       21.      874.
ATM0	DATE65	    -2264.     -313.      313.      406.      929.     1393.
ATM0	DATE66	    -2444.    -2157.     2157.      760.     -523.     3200.
ATM0	DATE67	     1591.       53.      -53.     1566.     -371.     2057.
ATM0	DATE68	      621.    -1713.     1713.      576.     -144.     1964.
ATM0	DATE69	     -808.      189.     -189.      456.     1657.      826.
ATM0	DATE70	      764.      -74.       74.     1077.     1691.     1122.
ATM0	DATE71	     2978.    -1938.     1938.     1081.     1737.      889.
ATM0	DATE72	      -59.     -362.      362.      270.    -4380.     5055.
ATM0	DATE73	     1901.     -589.      589.      127.     -342.     1115.
ATM0	DATE74	      513.     1664.    -1664.     1269.     -326.     1039.
ATM0	DATE75	     1464.     -336.      336.      357.     1086.      509.
ATM0	DATE76	     -182.     1709.    -1709.     1849.    -1170.     1804.
ATM0	DATE77	     1730.      529.     -529.      766.    -1217.     1688.
ATM0	DATE78	     -565.    -1545.     1545.     3402.     -583.     3132.
ATM0	DATE79	     4203.     1538.    -1538.     2124.      614.      484.
ATM0	DATE80	     -368.     -827.      827.      193.     1710.      327.
ATM0	DATE81	     7078.     1279.    -1279.      114.     1236.      587.
ATM0	DATE82	     5426.      759.     -759.      917.    -2636.     4191.
ATM0	DATE83	    -2429.     -770.      770.      135.     2134.      324.
ATM0	DATE84	      156.     -234.      234.      901.    -1112.     2044.
ATM0	DATE85	     2537.      974.     -974.      479.     -859.     2681.
ATM0	DATE86	    -2043.    -1983.     1983.      400.     2301.     1786.
ATM0	DATE87	    -2025.     -633.      633.      422.      721.     1430.
ATM0	DATE88	     -433.     -141.      141.     3393.     -986.     2565.
ATM0	DATE89	     4696.     -225.      225.      595.    -1090.     1414.
ATM0	DATE90	     -194.      466.     -466.      204.    -2242.     4911.
ATM0	DATE91	    -1985.     -631.      631.      358.      628.     2231.
ATM0	DATE92	     -134.    -1148.     1148.      213.     2279.      264.
ATM0	DATE93	     -499.     -360.      360.      147.     1034.     1470.
ATM0	DATE94	     1618.      106.     -106.     2179.      223.      305.
ATM0	DATE95	      809.      520.     -520.     2773.     -167.     1788.
ATM0	DATE96	     2038.     -425.      425.     1545.     1162.      251.
ATM0	DATE97	      137.     1269.    -1269.      398.      544.      150.
ATM0	DATE98	     -409.      591.     -591.      771.     -838.     1695.
ATM0	DATE99	     5346.     2120.    -2120.     1585.     -396.     2867.
ATM1	DATE0	     7940.     -934.      934.     1789.    -1290.     2862.
ATM1	DATE1	     2328.      604.     -604.      348.     1164.     1234.
ATM1	DATE2	     4366.      447.     -447.     2934.     -471.     1193.
ATM1	DATE3	      620.       -6.        6.      803.     -915.     2196.
ATM1	DATE4	     1606.    -1091.     1091.      845.    -1315.     4042.
ATM1	DATE5	     5576.    -1289.     1289.      270.     -452.     2273.
ATM1	DATE6	     3455.      530.     -530.      739.    -2254.     3380.
ATM1	DATE7	    -1318.    -1756.     1756.       81.     1326.     1669.
ATM1	DATE8	     1319.     1945.    -1945.     1609.    -1426.     2427.
ATM1	DATE9	     2954.     -562.      562.      234.      781.      216.
ATM1	DATE10	     3735.     2708.    -2708.     1875.     -209.      686.
ATM1	DATE11	    -1201.    -1362.     1362.      116.    -2734.     4318.
ATM1	DATE12	     2635.      323.     -323.      628.       98.      448.
ATM1	DATE13	     3878.    -1099.     1099.     4524.      -16.     3480.
ATM1	DATE14	     1384.     3232.    -3232.     4214.    -2423.     3273.
ATM1	DATE15	    -1991.     1658.    -1658.     1278.      617.     1436.
ATM1	DATE16	     -296.     -642.      642.      354.      395.     1686.
ATM1	DATE17	     2142.    -1818.     1818.      871.    -2001.     3918.
ATM1	DATE18	     7016.     -661.      661.      240.     -501.     1363.
ATM1	DATE19	     1297.     2300.    -2300.      560.      678.      387.
ATM1	DATE20	     2842.      520.     -520.      347.    -1404.     2246.
ATM1	DATE21	     1159.     1830.    -1830.      498.    -1484.     2806.
ATM1	DATE22	      982.     -578.      578.     1055.     -839.     2297.
ATM1	DATE23	     2339.     -179.      179.      617.     -190.      732.
ATM1	DATE24	     -971.    -1053.     1053.     1098.       81.     1687.
ATM1	DATE25	     6384.      491.     -491.      253.      303.     1161.
ATM1	DATE26	     5582.     -510.      510.     1148.    -1481.     2143.
ATM1	DATE27	    -2729.     -790.      790.     2181.     2756.      113.
ATM1	DATE28	     6294.     1716.    -1716.     1127.    -1058.     1121.
ATM1	DATE29	     4375.       34.      -34.     1058.     1223.       37.
ATM1	DATE30	     -391.      610.     -610.       28.    -2750.     4352.
ATM1	DATE31	     -853.      565.     -565.      154.    -3078.     4010.
ATM1	DATE32	     2002.     2196.    -2196.     2893.    -1447.     2086.
ATM1	DATE33	    -2273.    -2633.     2633.      655.     2226.      642.
ATM1	DATE34	     -421.    -3078.     3078.      760.     1762.     1553.
ATM1	DATE35	    -1518.    -1264.     1264.     2975.     2283.     1113.
ATM1	DATE36	      250.       17.      -17.      194.     1128.       27.
ATM1	DATE37	     2771.     1928.    -1928.      786.      222.     1216.
ATM1	DATE38	    -1369.      404.     -404.      591.     2140.      119.
ATM1	DATE39	    -2207.    -2415.     2415.      143.     1131.     1707.
ATM1	DATE40	     -763.    -1868.     1868.     1260.     -919.     3376.
ATM1	DATE41	     2197.      149.     -149.     1261.    -1718.     2714.
ATM1	DATE42	     1747.    -2853.     2853.      550.      959.     2166.
ATM1	DATE43	     4185.     1277.    -1277.      422.    -4096.     5010.
ATM1	DATE44	     4358.    -1260.     1260.      626.     1303.      337.
ATM1	DATE45	     5439.      828.     -828.      244.     1651.     1331.
ATM1	DATE46	     -508.     1654.    -1654.       14.      302.      418.
ATM1	DATE47	     1216.     2055.    -2055.      104.    -2136.     3604.
ATM1	DATE48	     -633.     1647.    -1647.      400.     -376.     1824.
ATM1	DATE49	    -1299.      358.     -358.      376.     -372.     1706.
ATM1	DATE50	     2544.     1185.    -1185.     1743.    -1239.     3060.
ATM1	DATE51	    -1320.      319.     -319.     2888.      795.     1734.
ATM1	DATE52	     1606.     1088.    -1088.      626.     -146.     2386.
ATM1	DATE53	       62.       45.      -45.       23.    -1957.     3967.
ATM1	DATE54	     2937.     2549.    -2549.       25.    -1653.     1670.
ATM1	DATE55	     4042.     1368.    -1368.      690.     -972.     1107.
ATM1	DATE56	    -2360.    -2596.     2596.     1565.    -1707.     4355.
ATM1	DATE57	     -599.     -494.      494.     2000.    -1605.     4372.
ATM1	DATE58	      997.      376.     -376.     2202.    -1331.     1961.
ATM1	DATE59	     2965.     -139.      139.      968.      493.      276.
ATM1	DATE60	      800.     -628.      628.      446.     1025.      468.
ATM1	DATE61	     2178.      382.     -382.      890.    -1647.     2343.
ATM1	DATE62	     4296.      733.     -733.     2333.    -1293.     2399.
ATM1	DATE63	     1248.     -104.      104.      721.     1116.     1032.
ATM1	DATE64	    -1050.      434.     -434.     1122.      -42.     2148.
ATM1	DATE65	    -1056.      742.     -742.      514.     1166.      142.
ATM1	DATE66	     1310.    -1504.     1504.      428.     1870.      451.
ATM1	DATE67	      651.     1041.    -1041.      248.      990.     2006.
ATM1	DATE68	     -523.      707.     -707.     1335.     -788.     2319.
ATM1	DATE69	      535.    -1960.     1960.      200.     1274.     1392.
ATM1	DATE70	     3221.     2705.    -2705.      200.      156.      438.
ATM1	DATE71	     2330.       25.      -25.     1074.    -2968.     4093.
ATM1	DATE72	     2111.      -83.       83.       93.     -124.     1745.
ATM1	DATE73	     1438.      248.     -248.     1710.     -536.     2896.
ATM1	DATE74	     1413.       47.      -47.     1572.     -593.     1330.
ATM1	DATE75	      923.     -882.      882.      506.     -278.     1706.
ATM1	DATE76	     1192.    -1038.     1038.      611.      818.     1211.
ATM1	DATE77	     6927.      800.     -800.      314.     -191.     1410.
ATM1	DATE78	     3058.     1219.    -1219.      910.     -550.     1392.
ATM1	DATE79	    -2932.    -2301.     2301.     1342.     2191.     1444.
ATM1	DATE80	     -282.      333.     -333.     2238.     -125.     1853.
ATM1	DATE81	     4613.    -2701.     2701.     1347.      -34.     2964.
ATM1	DATE82	     -138.    -1369.     1369.     1252.    -1554.     3372.
ATM1	DATE83	     7262.    -1111.     1111.        5.      590.      922.
ATM1	DATE84	    -1127.    -3207.     3207.        5.     3011.      794.
ATM1	DATE85	     2477.     3176.    -3176.      649.     -212.     1578.
ATM1	DATE86	     2778.     1166.    -1166.      403.      629.      920.
ATM1	DATE87	     1749.     1232.    -1232.     1401.    -2785.     2835.
ATM1	DATE88	    13035.      812.     -812.     1904.    -1268.     2546.
ATM1	DATE89	     5335.      770.     -770.     1316.     -488.     1049.
ATM1	DATE90	      493.     1611.    -1611.      264.     -767.     1025.
ATM1	DATE91	     9484.     1546.    -1546.      592.     -680.     1570.
ATM1	DATE92	    -1138.      426.     -426.     1325.     -592.     2149.
ATM1	DATE93	     1525.     -279.      279.      779.      312.      936.
ATM1	DATE94	      712.     1973.    -1973.       23.     -631.     1070.
ATM1	DATE95	      -11.      270.     -270.     1162.    -3680.     5085.
ATM1	DATE96	    -2242.     -337.      337.     3819.     1882.      586.
ATM1	DATE97	     -950.    -1058.     1058.      740.     1423.     1928.
ATM1	DATE98	    -1222.    -2922.     2922.     1360.     1167.     1911.
ATM1	DATE99	     2854.    -2313.     2313.      902.     2694.      745.
ATM2	DATE0	     -693.     -108.      108.     2676.    -1473.     2875.
ATM2	DATE1	     1764.      463.     -463.      446.      -21.     2010.
ATM2	DATE2	     -901.      616.     -616.      698.       85.     1159.
ATM2	DATE3	      297.      -30.       30.      456.    -2389.     2520.
ATM2	DATE4	    -2111.    -3121.     3121.     2007.     2976.      953.
ATM2	DATE5	     -812.     -739.      739.       34.    -1962.     3507.
