a	d	CA	CB	CC	CD	CE	CW
S1AD0108	01_07_2007	-409704.0524	-148564.286	148564.286	924624.78584	1018350	1519300
S1AD0108	02_07_2007	-134819.2296	-148564.286	148564.286	1499179.0339	1944150	593500
S1AD0108	03_07_2007	-134819.2296	-148564.286	148564.286	1499179.0339	84650	2453000
S1AD0108	04_07_2007	-717278.5709	-148564.286	148564.286	820107.05804	311150	2226500
S1AD0108	05_07_2007	-717278.5709	-148564.286	148564.286	820107.05804	-117450	2655100
S1AD0108	06_07_2007	-717278.5709	-148564.286	148564.286	820107.05804	-4650	2542300
S1AD0108	07_07_2007	-329766.297	-148564.286	148564.286	738357.19465	-38750	2576400
S1AD0108	08_07_2007	-684479.7206	-148564.286	148564.286	648964.94189	463450	2074200
S1AD0108	09_07_2007	-445090.0009	-148564.286	148564.286	1052226.4269	2279750	257900
S1AD0108	10_07_2007	-296922.7276	-148564.286	148564.286	980431.1878	537250	2000400
S1AD0108	11_07_2007	-296922.7276	-148564.286	148564.286	980431.1878	-57550	2595200
S1AD0108	12_07_2007	-97555.797	-148564.286	148564.286	901930.0483	1184650	1353000
S1AD0108	13_07_2007	-97555.797	-148564.286	148564.286	901930.0483	-17250	2554900
S1AD0108	14_07_2007	36920.96909	-148564.286	148564.286	632892.81017	254250	2283400
S1AD0108	15_07_2007	-376703.5718	-148564.286	148564.286	556269.03716	744150	1793500
S1AD0108	16_07_2007	-97555.797	-148564.286	148564.286	901930.0483	1813150	724500
S1AD0108	17_07_2007	-97555.797	-148564.286	148564.286	901930.0483	1711650	826000
S1AD0108	18_07_2007	-97555.797	-148564.286	148564.286	901930.0483	-168350	2706000
S1AD0108	19_07_2007	-97555.797	-148564.286	148564.286	901930.0483	350650	2187000
S1AD0108	20_07_2007	-97555.797	-148564.286	148564.286	901930.0483	391450	2146200
S1AD0108	21_07_2007	36920.96909	-148564.286	148564.286	632892.81017	-165750	2703400
S1AD0108	22_07_2007	-376703.5718	-148564.286	148564.286	556269.03716	445950	2091700
S1AD0108	23_07_2007	-97555.797	-148564.286	148564.286	901930.0483	1882650	655000
S1AD0108	24_07_2007	-97555.797	-148564.286	148564.286	901930.0483	409250	2128400
S1AD0108	25_07_2007	-97555.797	-148564.286	148564.286	901930.0483	620550	1917100
S1AD0108	26_07_2007	-97555.797	-148564.286	148564.286	901930.0483	-94750	2632400
S1AD0108	27_07_2007	-97555.797	-148564.286	148564.286	901930.0483	270750	2266900
S1AD0108	28_07_2007	-63006.02126	-148564.286	148564.286	854152.65938	-92350	2630000
S1AD0108	29_07_2007	-460576.526	-148564.286	148564.286	750741.15203	717850	1819800
S1AD0108	30_07_2007	-192263.3319	-148564.286	148564.286	1217245.5382	1278450	1259200
S1AD0108	31_07_2007	-192263.3319	-148564.286	148564.286	1217245.5382	49950	2487700
S1AD0108	01_08_2007	33945.056437	-477992.857	477992.857	1499179.0339	-359814.286	2728700
S1AD0108	02_08_2007	33945.056437	-477992.857	477992.857	1499179.0339	111585.714	2257300
S1AD0108	03_08_2007	33945.056437	-477992.857	477992.857	1499179.0339	137485.714	2231400
S1AD0108	04_08_2007	-448191.2473	-477992.857	477992.857	575476.84721	-538514.286	2907400
S1AD0108	05_08_2007	-756765.5209	-477992.857	477992.857	505804.37409	157085.714	2211800
S1AD0108	06_08_2007	-548514.2849	-477992.857	477992.857	820107.05804	1642985.714	725900
S1AD0108	07_08_2007	-276325.7149	-477992.857	477992.857	1052226.4269	-398314.286	2767200
S1AD0108	08_08_2007	-276325.7149	-477992.857	477992.857	1052226.4269	-29014.286	2397900
S1AD0108	09_08_2007	-276325.7149	-477992.857	477992.857	1052226.4269	-585114.286	2954000
S1AD0108	10_08_2007	-128158.4416	-477992.857	477992.857	980431.1878	-318114.286	2687000
S1AD0108	11_08_2007	-4669.046351	-477992.857	477992.857	687977.79914	-83114.286	2452000
S1AD0108	12_08_2007	-207939.2858	-477992.857	477992.857	556269.03716	95885.714	2273000
S1AD0108	13_08_2007	71208.489	-477992.857	477992.857	901930.0483	1739985.714	628900
S1AD0108	14_08_2007	71208.489	-477992.857	477992.857	901930.0483	-79514.286	2448400
S1AD0108	15_08_2007	71208.489	-477992.857	477992.857	901930.0483	2064485.714	304400
S1AD0108	16_08_2007	71208.489	-477992.857	477992.857	901930.0483	13785.714	2355100
S1AD0108	17_08_2007	71208.489	-477992.857	477992.857	901930.0483	-791514.286	3160400
S1AD0108	18_08_2007	205685.25509	-477992.857	477992.857	632892.81017	-230114.286	2599000
S1AD0108	19_08_2007	-207939.2858	-477992.857	477992.857	556269.03716	458785.714	1910100
S1AD0108	20_08_2007	71208.489	-477992.857	477992.857	901930.0483	1450485.714	918400
S1AD0108	21_08_2007	71208.489	-477992.857	477992.857	901930.0483	797985.714	1570900
S1AD0108	22_08_2007	71208.489	-477992.857	477992.857	901930.0483	-487014.286	2855900
S1AD0108	23_08_2007	71208.489	-477992.857	477992.857	901930.0483	-805414.286	3174300
S1AD0108	24_08_2007	71208.489	-477992.857	477992.857	901930.0483	-42214.286	2411100
S1AD0108	25_08_2007	205685.25509	-477992.857	477992.857	632892.81017	-615114.286	2984000
S1AD0108	26_08_2007	-207939.2858	-477992.857	477992.857	556269.03716	1539085.714	829800
S1AD0108	27_08_2007	71208.489	-477992.857	477992.857	901930.0483	1444085.714	924800
S1AD0108	28_08_2007	-23499.04591	-477992.857	477992.857	1217245.5382	1656885.714	712000
S1AD0108	29_08_2007	-23499.04591	-477992.857	477992.857	1217245.5382	-1112414.286	3481300
S1AD0108	30_08_2007	-23499.04591	-477992.857	477992.857	1217245.5382	-1355814.286	3724700
S1AD0108	31_08_2007	-23499.04591	-477992.857	477992.857	1217245.5382	-655214.286	3024100
S1AD0108	01_09_2007	418896.7573	-87642.857	87642.857	1051988.0488	-656442.857	2772800
S1AD0108	02_09_2007	11588.804552	-87642.857	87642.857	924624.78584	-1301042.857	3417400
S1AD0108	03_09_2007	286473.62744	-87642.857	87642.857	1499179.0339	1621157.143	495200
S1AD0108	04_09_2007	-295985.7139	-87642.857	87642.857	820107.05804	-46142.857	2162500
S1AD0108	05_09_2007	-295985.7139	-87642.857	87642.857	820107.05804	-232842.857	2349200
S1AD0108	06_09_2007	-295985.7139	-87642.857	87642.857	820107.05804	-1647742.857	3764100
S1AD0108	07_09_2007	-23797.14389	-87642.857	87642.857	1052226.4269	-1139642.857	3256000
S1AD0108	08_09_2007	91526.560029	-87642.857	87642.857	738357.19465	-858642.857	2975000
S1AD0108	09_09_2007	-263186.8636	-87642.857	87642.857	648964.94189	-228642.857	2345000
S1AD0108	10_09_2007	124370.12942	-87642.857	87642.857	980431.1878	540657.143	1575700
S1AD0108	11_09_2007	705698.17918	-87642.857	87642.857	796296.2378	-181842.857	2298200
S1AD0108	12_09_2007	956788.31168	-87642.857	87642.857	732538.4108	-1158942.857	3275300
S1AD0108	13_09_2007	956788.31168	-87642.857	87642.857	732538.4108	-1140242.857	3256600
S1AD0108	14_09_2007	956788.31168	-87642.857	87642.857	732538.4108	-1254242.857	3370600
S1AD0108	15_09_2007	1126153.3558	-87642.857	87642.857	514029.10261	-1734642.857	3851000
S1AD0108	16_09_2007	605219.21487	-87642.857	87642.857	451796.05366	53257.143	2063100
S1AD0108	17_09_2007	956788.31168	-87642.857	87642.857	732538.4108	205057.143	1911300
S1AD0108	18_09_2007	956788.31168	-87642.857	87642.857	732538.4108	-1246842.857	3363200
S1AD0108	19_09_2007	956788.31168	-87642.857	87642.857	732538.4108	-2107542.857	4223900
S1AD0108	20_09_2007	956788.31168	-87642.857	87642.857	732538.4108	-1309542.857	3425900
S1AD0108	21_09_2007	956788.31168	-87642.857	87642.857	732538.4108	-649142.857	2765500
S1AD0108	22_09_2007	458213.82609	-87642.857	87642.857	632892.81017	-171342.857	2287700
S1AD0108	23_09_2007	44589.285178	-87642.857	87642.857	556269.03716	-724242.857	2840600
S1AD0108	24_09_2007	323737.06	-87642.857	87642.857	901930.0483	980457.143	1135900
S1AD0108	25_09_2007	323737.06	-87642.857	87642.857	901930.0483	218157.143	1898200
S1AD0108	26_09_2007	323737.06	-87642.857	87642.857	901930.0483	-843142.857	2959500
S1AD0108	27_09_2007	323737.06	-87642.857	87642.857	901930.0483	-1869942.857	3986300
S1AD0108	28_09_2007	229029.52509	-87642.857	87642.857	1217245.5382	-763142.857	2879500
S1AD0108	29_09_2007	358286.83574	-87642.857	87642.857	854152.65938	-1420242.857	3536600
S1AD0108	30_09_2007	-39283.66903	-87642.857	87642.857	750741.15203	426057.143	1690300
S1AD0108	01_10_2007	436580.77044	84600	-84600	1499179.0339	598050	1368200
S1AD0108	02_10_2007	436580.77044	84600	-84600	1499179.0339	1257750	708500
