d	B
01_07_2007	15826528.012
02_07_2007	16380850
03_07_2007	16283000
04_07_2007	16037000
05_07_2007	17631300
06_07_2007	16511600
07_07_2007	11946958.437
08_07_2007	19210228.012
09_07_2007	18955900
10_07_2007	17791650
11_07_2007	17415100
12_07_2007	20558600
13_07_2007	17877700
14_07_2007	8368803.525
15_07_2007	20621528.012
16_07_2007	17141850
17_07_2007	15578000
18_07_2007	14907800
19_07_2007	16158200
20_07_2007	19193300
21_07_2007	15441903.793
22_07_2007	22549128.012
23_07_2007	18515500
24_07_2007	17629800
25_07_2007	15706800
26_07_2007	13162800
27_07_2007	13381150
28_07_2007	17452800.491
29_07_2007	22935428.012
30_07_2007	22684700
31_07_2007	19035150
01_08_2007	9713150
02_08_2007	14359950
03_08_2007	13983700
04_08_2007	6596054.164
05_08_2007	18354228.012
06_08_2007	13183600
07_08_2007	10304550
08_08_2007	11002750
09_08_2007	8510700
10_08_2007	12046400
11_08_2007	9957946.472
12_08_2007	21876728.012
13_08_2007	11602628.012
14_08_2007	13513478.012
15_08_2007	25823128.012
16_08_2007	10239028.012
17_08_2007	9214428.012
18_08_2007	10935854.203
19_08_2007	20298428.012
20_08_2007	16665478.012
21_08_2007	10155578.012
22_08_2007	10645028.012
23_08_2007	10397828.012
24_08_2007	11749928.012
25_08_2007	11593122.893
26_08_2007	20901328.012
27_08_2007	19570700
28_08_2007	26955250
29_08_2007	17381900
30_08_2007	14624000
31_08_2007	17744800
01_09_2007	8795031.149
02_09_2007	15721228.012
03_09_2007	11959650
04_09_2007	17427500
05_09_2007	13344700
06_09_2007	8826850
07_09_2007	8057800
08_09_2007	7396233.562
09_09_2007	14518628.012
10_09_2007	6439728.012
11_09_2007	7355970.993
12_09_2007	8856678.012
13_09_2007	9915828.012
14_09_2007	5907478.012
15_09_2007	12758513.905
16_09_2007	20849528.012
17_09_2007	8649528.012
18_09_2007	10688928.012
19_09_2007	8320578.012
20_09_2007	13180428.012
21_09_2007	9884828.012
22_09_2007	9050150.296
23_09_2007	19810528.012
24_09_2007	15465528.012
25_09_2007	11006628.012
