i	j	d
1	2	3.2190558022
1	3	2.4473755674
1	4	3.9159685713
1	5	2.489641973
1	6	3.2879054324
1	7	2.4412479701
1	8	2.181498332
1	9	2.5379297959
1	10	4.2291417034
1	11	2.7156233772
1	12	2.1955804672
1	13	4.2811174636
1	14	2.442897964
1	15	6.5288388312
1	16	6.8372014355
1	17	5.6867588077
1	18	4.0147385411
1	19	3.8658228297
1	20	3.6392010994
1	21	4.5513894286
1	22	3.4195152449
1	23	3.7530552096
1	24	3.2788753939
1	25	4.1820180827
1	26	2.620012123
1	27	5.5696479881
1	28	2.0138108409
1	29	4.5500093273
1	30	6.5280179216
1	31	3.1724877992
1	32	5.9908246156
1	33	2.7437766882
1	34	2.5878750401
1	35	4.6707071358
1	36	5.2042850592
1	37	5.8649618318
1	38	4.7318140505
1	39	6.8880135477
1	40	4.673866466
1	41	4.1051256019
1	42	4.4660555355
1	43	6.7171509102
1	44	5.5314214479
1	45	3.7396810263
1	46	2.9050267729
1	47	6.3939969453
1	48	2.6967088979
1	49	3.5795726034
1	50	6.831337647
1	51	4.872157019
1	52	3.5726606113
1	53	5.2720663693
1	54	4.7311484319
1	55	5.4658970258
1	56	5.0132711856
1	57	3.2428799557
1	58	3.7453611301
1	59	3.3843365462
1	60	5.6412991367
1	61	6.5946853536
1	62	5.0979700541
1	63	5.5639650787
1	64	2.1350178896
1	65	5.5181953379
1	66	3.6885972776
1	67	3.777251955
1	68	4.602665542
1	69	5.5848835616
1	70	4.1928220881
1	71	2.8115462404
1	72	6.1491736328
1	73	5.6647199204
1	74	2.765813941
1	75	4.6181795647
1	76	3.9069584654
1	77	6.5532133195
1	78	3.3738926693
1	79	4.9523883168
1	80	3.5251828109
1	81	3.5706612945
1	82	3.4785352938
1	83	3.8305003745
1	84	4.8077024048
1	85	6.9293471547
1	86	2.5748128428
1	87	6.4442007572
1	88	2.3044194334
1	89	2.2293738794
1	90	5.9431612445
1	91	6.6086718187
1	92	6.2811877766
1	93	4.0510908179
1	94	2.0445472868
1	95	6.7081237029
1	96	6.8446160787
1	97	2.317585976
1	98	6.8685259884
1	99	6.3224299719
1	100	2.8747682724
1	101	6.1182965502
1	102	2.0360807311
1	103	6.1057584128
1	104	2.535277813
1	105	5.747373707
1	106	5.1720058751
1	107	6.7882140753
1	108	5.6498201749
1	109	2.8177198264
1	110	4.7870395001
1	111	6.5779898016
1	112	3.4730470541
1	113	2.5540215413
1	114	6.3634663636
1	115	5.6410871631
1	116	4.7832766472
1	117	6.0137185105
1	118	6.541590146
1	119	6.2776560501
1	120	2.8087250152
1	121	3.9462166526
1	122	4.2278425993
1	123	3.2135209056
1	124	3.8462134115
1	125	2.4328678667
1	126	5.8050333591
1	127	5.0490957378
1	128	2.0404764526
1	129	4.6746106393
1	130	2.7879582587
1	131	3.2425375805
1	132	5.9407122992
1	133	5.506597643
1	134	6.8193684732
1	135	5.037665504
1	136	6.4106070625
1	137	4.2389466419
1	138	4.4128556309
1	139	6.8374509601
1	140	2.8797979662
1	141	6.0530201905
1	142	4.7202408075
1	143	2.4033261004
1	144	5.292738855
1	145	5.6873798741
1	146	4.1429873361
1	147	5.2885481898
1	148	6.3109616471
1	149	2.3066874367
1	150	2.4256922917
1	151	3.0327399946
1	152	5.8914799941
1	153	2.3834940518
1	154	4.4065865378
1	155	2.3765145854
1	156	6.7709480416
1	157	6.3806081518
1	158	4.1222321094
1	159	4.2580979123
1	160	2.4204308686
1	161	4.2495829464
1	162	3.1093068757
1	163	4.5173655909
1	164	5.8042335579
1	165	5.737672136
1	166	6.4660227254
1	167	2.4394438166
1	168	5.0506053861
1	169	5.5188982769
1	170	3.9358721897
1	171	6.197963094
1	172	4.3839227191
1	173	5.8100116671
1	174	4.3642395122
1	175	5.4348644286
1	176	5.3600013672
1	177	5.9049020032
1	178	4.3380762489
1	179	5.1561486228
1	180	6.2551747171
1	181	5.2988968204
1	182	4.75584106
1	183	3.4302907006
1	184	3.8894335357
1	185	2.7192444688
1	186	4.6047208242
1	187	2.1048687031
1	188	5.2057606746
1	189	6.3539682098
1	190	5.0592922392
1	191	4.1386078429
1	192	2.6652542626
1	193	3.6500216427
1	194	3.688590777
1	195	6.6997772389
1	196	2.1641950524
1	197	4.0375705543
1	198	2.9877326321
1	199	2.2395592328
1	200	5.0373710944
1	201	5.6754627543
1	202	5.3493633817
1	203	4.4935737008
1	204	4.6378981176
1	205	3.8659680485
1	206	5.1414129623
1	207	6.5678088067
1	208	5.6284907389
1	209	3.5176091001
1	210	4.6507957548
1	211	3.1699250043
1	212	3.390054641
1	213	6.291867844
1	214	5.5298539412
1	215	3.6619588093
1	216	5.1208455717
2	3	4.8139605084
2	4	6.2736357284
2	5	4.5899734011
2	6	5.2629890872
2	7	6.094397246
2	8	5.5537644329
2	9	3.8700150828
2	10	3.7379824197
2	11	4.3902096983
2	12	4.6832549077
2	13	6.580657596
2	14	2.3588733591
2	15	4.459978977
2	16	2.8051460193
2	17	2.1533882111
2	18	2.4239862205
2	19	4.5679286721
2	20	3.6586260692
2	21	2.0838161377
2	22	5.0256019081
2	23	6.7158327255
2	24	2.1880205167
2	25	6.0051901662
2	26	3.2558351649
2	27	5.8966380381
2	28	3.5513377504
2	29	2.6434415307
2	30	2.2475696803
2	31	2.5770342101
2	32	2.6391514887
2	33	5.0091257244
2	34	4.1079272065
2	35	3.2711330626
2	36	3.4659942717
2	37	3.4865774086
2	38	4.7497242404
2	39	2.6544989933
2	40	6.6410451036
2	41	2.5940451778
2	42	3.6607434706
2	43	2.6106155438
2	44	5.8732083532
2	45	6.8206870141
2	46	4.8774323491
2	47	6.2629653957
2	48	4.7537324083
2	49	3.3501782512
2	50	6.008794175
2	51	5.3131015991
2	52	6.0158556164
2	53	3.7595315733
2	54	6.4292652721
2	55	6.4790914745
2	56	3.0893075918
2	57	2.0987002231
2	58	4.6824729064
2	59	2.4634654431
2	60	3.4255753958
2	61	5.5089124197
2	62	5.5810126637
2	63	2.6882878303
2	64	6.0458403826
2	65	5.6381877603
2	66	5.1392850881
2	67	6.2328141021
2	68	2.4856693002
2	69	6.3641108621
2	70	3.0858494048
2	71	6.0701735714
2	72	2.8445614743
2	73	2.2367234999
2	74	5.3255513074
2	75	6.1246493226
2	76	4.2708141325
2	77	2.1568108425
2	78	5.6354941077
2	79	5.2819565634
2	80	5.30047656
2	81	3.8002725028
2	82	5.4450320566
2	83	3.8539909398
2	84	3.5447316792
2	85	4.0940405629
2	86	6.5891952489
2	87	3.0463990835
2	88	6.9144228547
2	89	4.5504120102
2	90	3.8350844094
2	91	2.2397906781
2	92	6.0586369108
2	93	4.0193592492
2	94	3.0250974405
2	95	2.1052919589
2	96	4.1591619016
2	97	3.9407285549
2	98	4.3649475618
2	99	5.6463431379
2	100	4.5043667771
2	101	3.7579185109
2	102	6.4633373616
2	103	4.9158581248
2	104	6.6974064338
2	105	3.7061498699
2	106	5.312681086
2	107	6.4919906415
2	108	4.9953064132
2	109	2.0887728157
2	110	2.8293774472
2	111	4.4893787072
2	112	6.0343933944
2	113	5.055056172
2	114	5.9116319636
2	115	2.1791783796
2	116	2.917322033
2	117	4.0424449151
2	118	4.033227874
2	119	2.5803959889
2	120	4.9420350273
2	121	4.5297923281
2	122	6.7094579412
2	123	6.7726116259
2	124	3.8605489083
2	125	5.4606700267
2	126	4.5880882342
2	127	4.2690113458
2	128	2.8910603243
2	129	5.8268430246
2	130	3.4730254218
2	131	5.1178404568
2	132	5.8921807911
2	133	6.8029477824
2	134	4.4192056816
2	135	2.9659637515
2	136	3.7623074151
2	137	2.1801673929
2	138	3.0697414382
2	139	5.7647291593
2	140	6.8786879819
2	141	6.7693246974
2	142	2.4411385699
2	143	3.000157183
2	144	4.7455183015
2	145	6.5057906022
2	146	5.8948718477
2	147	5.493949549
2	148	2.1069534687
2	149	2.6308541007
2	150	3.5339382466
2	151	3.4776542557
2	152	6.8739584628
2	153	2.4063597626
2	154	3.3448615146
2	155	6.4467808117
2	156	5.5428398631
2	157	5.0195283322
2	158	2.4890875451
2	159	2.2282110253
2	160	5.5641758626
2	161	6.3670607006
2	162	6.0257783928
2	163	6.159870152
2	164	6.8710748576
2	165	2.6175494174
2	166	3.8236355702
2	167	6.4304440471
2	168	5.7283390731
2	169	5.6641068215
2	170	2.3471348017
2	171	6.4133789951
2	172	2.2290751064
2	173	2.1087377035
2	174	2.9878229075
2	175	5.0081577892
2	176	6.2862307975
2	177	2.614562766
2	178	3.6677492981
2	179	5.9773316677
2	180	3.5913077963
2	181	3.5233706643
2	182	6.5572573527
2	183	4.8866996234
2	184	5.553016837
2	185	5.7122942338
2	186	4.8094403389
2	187	6.4579985526
2	188	3.1280351952
2	189	4.722022835
2	190	6.0377139505
2	191	3.5464462114
2	192	3.3287455525
2	193	5.3340125546
2	194	3.1537186411
2	195	4.5687939755
2	196	5.7299336929
2	197	5.1874569287
2	198	3.5467847891
2	199	2.7636374844
2	200	2.138275323
2	201	6.408433146
2	202	5.7298607797
2	203	3.7482741884
2	204	2.0556881377
2	205	3.2737900141
2	206	5.4983822696
2	207	6.8767909081
2	208	6.2824366057
2	209	4.0693424493
2	210	4.7657290701
2	211	6.5251663632
2	212	2.5077326091
2	213	2.9750097808
2	214	3.6361849926
2	215	4.5881490612
2	216	5.0046943543
3	4	5.7295422511
3	5	2.8768259459
3	6	2.421077728
3	7	4.4545741861
3	8	2.745992151
3	9	3.4574404277
3	10	6.6504989707
3	11	2.3106371734
3	12	4.0181102757
3	13	5.6684491642
3	14	3.6566083239
3	15	5.3965843536
3	16	2.8640319579
3	17	3.0107246186
3	18	3.4027057106
3	19	2.9151040115
3	20	6.8035583551
3	21	6.4159435362
3	22	3.4394819138
3	23	6.3933302394
3	24	4.3869918414
3	25	3.7618262776
3	26	2.3793372821
3	27	3.4556256595
3	28	3.2978269306
3	29	2.1193323872
3	30	4.7297834552
3	31	6.1586675235
3	32	2.9141881233
3	33	2.2482909594
3	34	2.5751215646
3	35	2.0039285468
3	36	6.8706782306
3	37	5.7487034657
3	38	5.7600797339
3	39	6.0777324438
3	40	2.9321396337
3	41	5.6684095667
3	42	5.3644835038
3	43	3.9026489611
3	44	3.8041636501
3	45	5.0469150273
3	46	4.9274968863
3	47	5.415667847
3	48	4.5695695926
3	49	4.0102935853
3	50	4.2044633153
3	51	5.9066148614
3	52	3.6323427281
3	53	6.4320331628
3	54	3.9941138835
3	55	5.4151378127
3	56	2.7740953149
3	57	5.2305908614
3	58	3.1863001744
3	59	2.9925015066
3	60	3.7141126803
3	61	6.1814514036
3	62	3.3800682669
3	63	2.6285558155
3	64	5.2217043048
