#	IEEE-118 node network																								
#	118 nodes	185 lines	20 generators																						
#																									
#p	name	nodes	arcs	k	timeseries	timeperiods																			
p	ieee118	119	205	0	4	24																			
#Nodes	#ACNODE	#DEMAND	#Timeseries																						
n	0	0	1																						
n	1	51	3																						
n	2	20	3																						
n	3	39	3																						
n	4	39	3																						
n	5	0	3																						
n	6	52	3																						
n	7	19	3																						
n	8	28	3																						
n	9	0	3																						
n	10	0	3																						
n	11	70	3																						
n	12	47	3																						
n	13	34	3																						
n	14	14	3																						
n	15	90	3																						
n	16	25	3																						
n	17	11	3																						
n	18	60	3																						
n	19	45	3																						
n	20	18	3																						
n	21	14	3																						
n	22	10	3																						
n	23	7	3																						
n	24	13	3																						
n	25	0	3																						
n	26	0	3																						
n	27	71	3																						
n	28	17	3																						
n	29	24	3																						
n	30	0	3																						
n	31	43	3																						
n	32	59	3																						
n	33	23	3																						
n	34	59	3																						
n	35	33	3																						
n	36	31	3																						
n	37	0	3																						
n	38	0	3																						
n	39	27	3																						
n	40	66	3																						
n	41	37	3																						
n	42	96	3																						
n	43	18	3																						
n	44	16	3																						
n	45	53	3																						
n	46	28	3																						
n	47	34	3																						
n	48	20	3																						
n	49	87	3																						
n	50	17	3																						
n	51	17	3																						
n	52	18	3																						
n	53	23	3																						
n	54	113	3																						
n	55	63	3																						
n	56	84	3																						
n	57	12	3																						
n	58	12	3																						
n	59	277	3																						
n	60	78	3																						
n	61	0	3																						
n	62	77	3																						
n	63	0	3																						
n	64	0	3																						
n	65	0	3																						
n	66	39	3																						
n	67	28	3																						
n	68	0	3																						
n	69	0	3																						
n	70	66	3																						
n	71	0	3																						
n	72	12	3																						
n	73	6	3																						
n	74	68	3																						
n	75	47	3																						
n	76	68	3																						
n	77	61	3																						
n	78	71	3																						
n	79	39	3																						
n	80	130	3																						
n	81	0	3																						
n	82	54	3																						
n	83	20	3																						
n	84	11	3																						
n	85	24	3																						
n	86	21	3																						
n	87	0	3																						
n	88	48	3																						
n	89	0	3																						
n	90	440	3																						
n	91	10	3																						
n	92	65	3																						
n	93	12	3																						
n	94	30	3																						
n	95	42	3																						
n	96	38	3																						
n	97	15	3																						
n	98	34	3																						
n	99	42	3																						
n	100	37	3																						
n	101	22	3																						
n	102	5	3																						
n	103	23	3																						
n	104	38	3																						
n	105	31	3																						
n	106	43	3																						
n	107	50	3																						
n	108	2	3																						
n	109	8	3																						
n	110	39	3																						
n	111	0	3																						
n	112	68	3																						
n	113	6	3																						
n	114	8	3																						
n	115	22	3																						
n	116	184	3																						
n	117	20	3																						
n	118	33	3																						
#Arcs																									
#Supply arcs	#FromNode	#Node	#Lower bound	#Capacity	#Reactance	#Op. Cost	#Fix. Cost 1	#Fix. Cost 2	#Timeseries	#Timeseries	#AC	#Switchable													
a	0	10	110	550	0	0.217	0	10	1	1	0	1													
a	0	12	37	185	0	1.052	0	10	1	1	0	1													
a	0	25	64	320	0	0.434	0	10	1	1	0	1													
a	0	26	82.8	414	0	0.308	0	10	1	1	0	1													
a	0	31	21.4	107	0	5.882	0	10	1	1	0	1													
a	0	46	23.8	119	0	3.448	0	10	1	1	0	1													
a	0	49	60.8	304	0	0.467	0	10	1	1	0	1													
a	0	54	29.6	148	0	1.724	0	10	1	1	0	1													
a	0	59	51	255	0	0.606	0	10	1	1	0	1													
a	0	61	52	260	0	0.588	0	10	1	1	0	1													
a	0	65	98.2	491	0	0.2493	0	10	1	1	0	1													
a	0	66	98.4	492	0	0.2487	0	10	1	1	0	1													
a	0	69	161.04	805.2	0	0.1897	0	10	1	1	0	1													
a	0	80	115.4	577	0	0.205	0	10	1	1	0	1													
a	0	87	20.8	104	0	7.142	0	10	1	1	0	1													
a	0	92	20	100	0	10	0	10	1	1	0	1													
a	0	100	70.4	352	0	0.381	0	10	1	1	0	1													
a	0	103	28	140	0	2	0	10	1	1	0	1													
a	0	111	27.2	136	0	2.173	0	10	1	1	0	1													
a	0	91	0	0	0	0	0	10	1	1	0	0													
#Transmission Arcs	#BusIdFrom	#BusIdTo	#LB	#Capacity	#X	#Cost	#Fix. Cost 1	#Fix. Cost 2	#Timeseries	#Timeseries	#AC	#Switchable													
a	1	2	-220	220	0.0999	0	0	0	1	1	1	0													
a	89	90	-660	660	0.032	0	0	0	1	1	1	0													
a	90	91	-660	660	0.0505	0	0	0	1	1	1	0													
a	89	91	-220	220	0.032	0	0	0	1	1	1	0													
a	89	92	-220	220	0.0505	0	0	0	1	1	1	0													
a	91	92	-220	220	0.1272	0	0	0	1	1	1	0													
a	105	107	-220	220	0.183	0	0	0	1	1	1	0													
a	106	107	-220	220	0.183	0	0	0	1	1	1	0													
a	100	103	-440	440	0.0525	0	0	0	1	1	1	0													
a	100	104	-220	220	0.204	0	0	0	1	1	1	0													
a	100	106	-220	220	0.229	0	0	0	1	1	1	0													
a	103	104	-220	220	0.1584	0	0	0	1	1	1	0													
a	103	105	-220	220	0.1625	0	0	0	1	1	1	0													
a	104	105	-220	220	0.0378	0	0	0	1	1	1	0													
a	105	106	-220	220	0.0547	0	0	0	1	1	1	0													
a	37	39	-220	220	0.106	0	0	0	1	1	1	0													
a	37	40	-220	220	0.168	0	0	0	1	1	1	0													
a	39	40	-220	220	0.0605	0	0	0	1	1	1	0													
a	40	41	-220	220	0.0487	0	0	0	1	1	1	0													
a	40	42	-220	220	0.183	0	0	0	1	1	1	0													
a	41	42	-220	220	0.135	0	0	0	1	1	1	0													
a	42	49	-220	220	0.323	0	0	0	1	1	1	0													
